;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
0;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;1;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
1;Panen olmejäätme prügikonteinerisse, Mina olen siiani ainult Tallinnas näinud katkiste tekstiilide jaoks mõeldud konteinereid ja väga kulukas oleks ekstra nt Pärnust jne kaugemalt tuua neid spets tallinna;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Mina olen siiani ainult Tallinnas näinud katkiste tekstiilide jaoks mõeldud konteinereid ja väga kulukas oleks ekstra nt Pärnust jne kaugemalt tuua neid spets tallinna
2;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
3;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
4;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
5;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
6;selleks eraldi ettenähtud konteiner (mitte see, kuhu kasutuskõlbulikid riided käivad) ;0;0;0;0;0;0;1;selleks eraldi ettenähtud konteiner (mitte see,kuhu kasutuskõlbulikid riided käivad)
7;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
8;Kui oleks mugavam, tahaks viia sobivasse konteinerisse või jäätmejaama. H&M poed korjavad ümbertöötlemiseks. Praegu on veel kodus ees, kuna tavaprügisse visata ei tahaks ja korralike riiete kogumiskasti ei sobiks. Mugav variant hetkel puudub.;0;0;0;0;0;0;1;Kui oleks mugavam,tahaks viia sobivasse konteinerisse või jäätmejaama. H&M poed korjavad ümbertöötlemiseks. Praegu on veel kodus ees,kuna tavaprügisse visata ei tahaks ja korralike riiete kogumiskasti ei sobiks. Mugav variant hetkel puudub.
9;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
10;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
11;Rõivakonteineritesse;1;0;0;0;0;0;0;
12;Viin kohalikku kirbukasse, sest mujale pole meie väikses külas ja selle ümbruses neid kuhugi viia;0;0;0;0;0;0;1;Viin kohalikku kirbukasse,sest mujale pole meie väikses külas ja selle ümbruses neid kuhugi viia
13;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
14;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
15;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
16;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
17;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
18;.;0;0;0;0;0;0;1;.
19;Põletan kodus;0;0;0;1;0;0;0;
20;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
21;Rõivakonteineritesse;1;0;0;0;0;0;0;
22;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
23;H&Mi kogumispunkti;0;0;0;0;0;0;1;H&Mi kogumispunkti
24;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
25;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
26;Panen olmejäätme prügikonteinerisse, Kasutan muul otstarbel, nt kaltsudeks;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Kasutan muul otstarbel,nt kaltsudeks
27;Kasutan materjale võimalikult (koospüsimise) lõpuni, s.t pesu-, puhastus jm majapidamislappideks, peenestatult täitematerjaliks, ribastatult vaibamaterjaliks jne. Juhendan rahvaülikoolis jm klubides nn loomingulise taaskasutuse õpitöötubasid, kus kasutame erinevaid tekstiilide ning looduslike kiudude-materjalide jääke  ;0;0;0;0;0;0;1;Kasutan materjale võimalikult (koospüsimise) lõpuni,s.t pesu-,puhastus jm majapidamislappideks,peenestatult täitematerjaliks,ribastatult vaibamaterjaliks jne. Juhendan rahvaülikoolis jm klubides nn loomingulise taaskasutuse õpitöötubasid,kus kasutame erinevaid tekstiilide ning looduslike kiudude-materjalide jääke
28;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
29;Kasutan koristus- ja puhastustöödes, käsitööks.;0;0;0;0;0;0;1;Kasutan koristus- ja puhastustöödes,käsitööks.
30;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
31;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
32;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
33;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse, Põletan kodus;1;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
34;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
35;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
36;Rõivakonteineritesse;1;0;0;0;0;0;0;
37;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
38;Rõivakonteineritesse;1;0;0;0;0;0;0;
39;Rõivakonteineritesse;1;0;0;0;0;0;0;
40;Rõivakonteineritesse;1;0;0;0;0;0;0;
41;Rõivakonteineritesse;1;0;0;0;0;0;0;
42;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
43;Rõivakonteineritesse, Põletan kodus;1;0;0;1;0;0;0;
44;Rõivakonteineritesse;1;0;0;0;0;0;0;
45;Rõivakonteineritesse;1;0;0;0;0;0;0;
46;"Lõikan ribadeks ja koon vaibaks; puhastuslappideks ";0;0;0;0;0;0;1;"Lõikan ribadeks ja koon vaibaks; puhastuslappideks"
47;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
